Accession #,Active yes/no,Additional disclaimer,Appearance,Application  Usage,Applications,Background,Binding Capacity,Biological activity,Buffer,Cas number,Clone,Concentration,Conjugate,Cross-reactivity,Date last updated,Disclaimer,EG number,Endotoxin Level,Extra information,Formulation,GeneIDURL,Handling,Hazardous Goods,Host,Immunogen,InChi,Isotype,Kit components,MDL Number,MSDS Available?,Molecular Form,Molecular Weight,NCBI GENE ID #,NCBI OFFICIAL FULL NAME,NCBI OFFICIAL SYMBOL,NCBI ORGANISM,PDF Datasheet,Packaging,Peptide sequence,Physical State,Physical form description,Price ITK/ImTec,Price LabNed,Product Description ITK,Product Type,Product category ITK,Product category LabNed,Product category by research field,Protein GI #,ProteinID,ProteinIDURL,PubChem CID,Purification,Purity,REACH number,Reactivity,Recommended Dilution,Reconstitution Instructions,Regulatory Statement,Related Products,Release Date,Research Area,SWISSPROT #,Salt Form,Sample Type,Shelf life,Shipping Conditions,Shipping costs,Size,Solubility/Reconstitution Instructions,Source,Stamnummer,Storage Conditions,Structure Available,Supplier,Supplier artikel nummer,Tags,Target,UNSPSC number,URL Datasheet,USDA Disclaimer,Unit Definition,User note,Web Category,code,description,image1_text,image2_text,name,not supplied reagents  equipment,picture,price,productid,references,review,vat
,Y,,,,FC,,,,,,HI264,,AF488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD235 Human AF488 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921235015 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350151,,CD235 ,12352203,,,,,,9212350151,,,,CD235 Human AF488 Antibody,,,,9212350151,,,LN9211208
,Y,,,,FC,,,,,,HI264,,AF555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD235 Human AF555 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921235016 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350160,,CD235 ,12352203,,,,,,9212350160,,,,CD235 Human AF555 Antibody,,,,9212350160,,,LN9211209
,Y,,,,FC,,,,,,HI264,,AF555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD235 Human AF555 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921235016 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350161,,CD235 ,12352203,,,,,,9212350161,,,,CD235 Human AF555 Antibody,,,,9212350161,,,LN9211210
,Y,,,,FC,,,,,,HI264,,AF594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD235 Human AF594 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921235017 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350170,,CD235 ,12352203,,,,,,9212350170,,,,CD235 Human AF594 Antibody,,,,9212350170,,,LN9211211
,Y,,,,FC,,,,,,HI264,,AF594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD235 Human AF594 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921235017 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350171,,CD235 ,12352203,,,,,,9212350171,,,,CD235 Human AF594 Antibody,,,,9212350171,,,LN9211212
,Y,,,,FC,,,,,,HI264,,AF647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD235 Human AF647 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921235018 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350180,,CD235 ,12352203,,,,,,9212350180,,,,CD235 Human AF647 Antibody,,,,9212350180,,,LN9211213
,Y,,,,FC,,,,,,HI264,,AF647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD235 Human AF647 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921235018 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350181,,CD235 ,12352203,,,,,,9212350181,,,,CD235 Human AF647 Antibody,,,,9212350181,,,LN9211214
,Y,,,,FC,,,,,,HI264,,AF680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,334,CD235 Human AF680 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,100 tests,,,921235019 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350190,,CD235 ,12352203,,,,,,9212350190,,,,CD235 Human AF680 Antibody,,,,9212350190,,,LN9211215
,Y,,,,FC,,,,,,HI264,,AF680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,1191,CD235 Human AF680 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,500 tests,,,921235019 ,2-8°C with minimized light exposure.,,AAT Bioquest,12350191,,CD235 ,12352203,,,,,,9212350191,,,,CD235 Human AF680 Antibody,,,,9212350191,,,LN9211216
,Y,,,,FC,,,,,,HI264,,APC/AF750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,83,CD235 Human APC/AF750 Antibody,,Flow Cytometry,Primary Antibodies,,,,,,,,,Human,,,,,11-2020,,,,,,ICE,,25 tests,,,92123501E ,2-8°C with minimized light exposure.,,AAT Bioquest,123501,,CD235 ,12352203,https://www.aatbio.com/products/apc-af750-anti-human-cd235-antibody-hi264,,,,,92123501,,,,CD235 Human APC/AF750 Antibody,,,,92123501,,,LN9211224
